OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
ASV666	Fungi							na	na	na	na	na	na	na	na	na
ASV667	Fungi	Basidiomycota	Agaricomycetes					na	na	na	na	na	na	na	na	na
ASV669	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Rhodotorula	Rhodotorula_nothofagi	Rhodotorula	13	Pathotroph-Saprotroph	Animal Endosymbiont-Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Yeast	Probable	Opportunistic human pathogen	https://www.cdc.gov ((https://www.cdc.gov))
ASV67	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_Incertae_sedis	Erythrobasidium	Sporobolomyces_yunnanensis	na	na	na	na	na	na	na	na	na
ASV670	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia		Curvularia	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV672	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_Incertae_sedis	Dothideomycetes_Incertae_sedis	Rhizopycnis	Rhizopycnis_vagum	Rhizopycnis	13	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	NULL	NULL	Possible	Host - Malvaceae	Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))
ASV673	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Schizothyriaceae	Zygophiala	Zygophiala_wisconsinensis	Zygophiala	13	Pathotroph	NULL	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV675	Fungi	Ascomycota	Dothideomycetes	Pleosporales				na	na	na	na	na	na	na	na	na
ASV678	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Sporisorium		Sporisorium	13	Pathotroph	Plant Pathogen	NULL	Facultative Yeast	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV68	Fungi							na	na	na	na	na	na	na	na	na
ASV680	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV682	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Sphaerulina	Sphaerulina_pseudovirgaureae	Sphaerulina	13	Symbiotroph	Lichenized	NULL	Thallus	Highly Probable	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
ASV686	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidiella	Leucosporidiella_fragaria	Leucosporidiella	13	Saprotroph	Soil Saprotroph-Undefined Saprotroph	NULL	Yeast	Probable	A yeast from fruit (Barnett & Buhagiar 1971; Syn. Candida-Leucosporidium-Rhodotorula-Torulopsis-Vanrijia spp.);Isolated from permafrost soil (Golubev 1998; Syn. Leucosporidium/Rhodotorula spp.)	Barnett JA, Buhagiar RWM. 1971. Journal of General Microbiology 67:233-238 ((https://doi.org/10.1099/00221287-67-2-233)); Golubev WI. 1998. Mikologiya i Fitopatologiya 32:8-13 ((https://www.binran.ru/files/journals/MiF/MiF_1998_32_3.pdf))
ASV688	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV689	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma_semiliberum	Lophiostoma	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV69	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dothideomycetes_unidentified_1	Dothideomycetes_unidentified_1	Pleosporaceae	9	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV691	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_unidentified	Dothideomycetes_unidentified_1	Dothideomycetes_unidentified_1		na	na	na	na	na	na	na	na	na
ASV692	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae_sedis	Acremonium	Acremonium_implicatum	Acremonium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Soft Rot	Microfungus	Possible	Endophyte detection method-culture (Hanada et al. 2010, Del Olmo-Ruiz & Arnold 2014); Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Worrall JJ, et al. 1997. Mycologia 89:199-219 ((https://doi.org/10.2307/3761073)); Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Del Olmo-Ruiz M, Arnold AE. 2014. Mycologia 106:8-21 ((https://doi.org/10.3852/13-098)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53313-337 ((https://doi.org/10.1093/mmy/myv008))
ASV693	Fungi	Basidiomycota	Exobasidiomycetes	Tilletiales	Tilletiaceae	Tilletia	Tilletia_moliniae	Tilletia	13	Pathotroph	Plant Pathogen	NULL	Smut	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV698	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_albidus	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	NULL	Dimorphic Yeast	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234 ((https://doi.org/10.1094/Phyto-73-228)); Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
ASV699	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Cyphellophora		Cyphellophora	13	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	NULL	Facultative Yeast-Microfungus	Probable	Consult the current literature for updated names on this group that included the Black Yeasts; Some species are likely opportunistic human pathogen (Irinyi et al. 2015)	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))
ASV7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_Incertae_sedis	Phoma	Phoma_brasiliensis	Phoma	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Dung Saprotroph-Lichen Parasite-Litter Saprotroph-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Soft Rot	Microfungus	Possible	NULL	Richardson MJ. 1972. Transactions of the British Mycological Society 58:37-48 ((https://doi.org/10.1016/S0007-1536(72)80069-X)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; de Gruyter J, et al. 2010. Mycologia 102:1066-1081 ((https://doi.org/10.3852/09-240)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))
ASV70	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Pseudozyma	Pseudozyma_sp	Ustilaginaceae	9	Pathotroph	Plant Pathogen	NULL	Facultative Yeast-Smut	Probable	Biotrophic in living tissue of Gramineae and Cyperaceae (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV700	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Cryptococcus	Cryptococcus_sp	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	NULL	Dimorphic Yeast	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234 ((https://doi.org/10.1094/Phyto-73-228)); Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
ASV705	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Coniothyrium	Coniothyrium_sidae	Coniothyrium	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Soft Rot	Microfungus	Highly Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58642-664 ((https://doi.org/10.2307/3757045)); Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV710	Fungi	Basidiomycota						na	na	na	na	na	na	na	na	na
ASV711	Fungi							na	na	na	na	na	na	na	na	na
ASV713	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_unidentified	Chaetothyriales_unidentified_1		na	na	na	na	na	na	na	na	na
ASV718	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae			Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	NULL	Microfungus	Probable	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV719	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_flavescens	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	NULL	Dimorphic Yeast	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234 ((https://doi.org/10.1094/Phyto-73-228)); Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
ASV72	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_cerealis	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	NULL	Microfungus	Possible	Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV720	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales				na	na	na	na	na	na	na	na	na
ASV721	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Bullera	Bullera_variabilis	Bullera	13	Saprotroph-Symbiotroph	Epiphyte-Litter Saprotroph	NULL	Yeast	Probable	Isolated from dead leaves of Oryza sativa, Miscanthus sinensis and Sasa sp. in Japan (Nakase & Suzuki 1986; Syn. Udeniomyces puniceus); Foliar, isolated from leaves of Melostomae candidum (Nakase et al. 2004)	Nakase T, Suzuki M. 1986. Journal of General and Applied Microbiology Tokyo 32:225-240 ((https://doi.org/10.2323/jgam.32.225)); Nakase T, et al. 2004. Systematic and Applied Microbiology 27:558-564 ((https://doi.org/10.1078/0723202041748118))
ASV722	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_Incertae_sedis	Periconia	Periconia_sp	Periconia	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Wood Saprotroph	Soft Rot	Microfungus	Possible	Dark Septate Endophyte, known from plant roots (Mandyam et al. 2010); Endophyte Host - Asteraceae, Musaceae (Costa et al. 2012)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Mandyam K, et al. 2012. Mycorrhiza 22:109-119 ((https://doi.org/10.1007/s00572-011-0386-y)); Knapp DG, et al. 2012. PLOS ONE 7:e32570 (( https://doi.org/10.1371/journal.pone.0032570)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV724	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_Incertae_sedis	Exidia	Exidia_glandulosa	Exidia	13	Saprotroph-Symbiotroph	Endophyte-Undefined Saprotroph	NULL	Tremelloid	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6))
ASV727	Fungi	Basidiomycota						na	na	na	na	na	na	na	na	na
ASV728	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Schizothyriaceae	Zygophiala	Zygophiala_pomi	Zygophiala	13	Pathotroph	NULL	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV729	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV73	Fungi	Ascomycota	Dothideomycetes	Capnodiales				na	na	na	na	na	na	na	na	na
ASV731	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Penidiella	Penidiella_sp	Penidiella	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV733	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Montagnulaceae	Paraphaeosphaeria	Paraphaeosphaeria_michotii	Paraphaeosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV74	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Davidiella_tassiana	Davidiella	13	Saprotroph	Undefined Saprotroph	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV749	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Tetraploa	Tetraploa_aristata	Tetraploa	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV75	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_Incertae_sedis	Dothideomycetes_Incertae_sedis	Leptospora	Leptospora_rubella	na	na	na	na	na	na	na	na	na
ASV752	Fungi	Ascomycota	Dothideomycetes					na	na	na	na	na	na	na	na	na
ASV758	Fungi							na	na	na	na	na	na	na	na	na
ASV759	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum_hirsutum	Stereum	13	Saprotroph	Undefined Saprotroph	White Rot	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV76	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Kabatiella		Kabatiella	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV761	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Paraphoma	Paraphoma_chrysanthemicola	Leptosphaeriaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Probable	Saprobic or weakly necrotrophic on stems or leaves (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV762	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina_chartarum	Leptosphaerulina	13	Symbiotroph	Lichenized	NULL	Thallus	Highly Probable	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
ASV77	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_victoriae	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	NULL	Dimorphic Yeast	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234 ((https://doi.org/10.1094/Phyto-73-228)); Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
ASV770	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_Incertae_sedis	Leptospora	Leptospora_rubella	na	na	na	na	na	na	na	na	na
ASV774	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia		Curvularia	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV779	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Cryptococcus	Cryptococcus_sp	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	NULL	Dimorphic Yeast	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234 ((https://doi.org/10.1094/Phyto-73-228)); Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
ASV78	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_coprosmaensis	na	na	na	na	na	na	na	na	na
ASV780	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Paraphoma	Paraphoma_chrysanthemicola	Leptosphaeriaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Probable	Saprobic or weakly necrotrophic on stems or leaves (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV781	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Rhodosporidium	Rhodosporidium_azoricum	Rhodosporidium	13	Saprotroph	Undefined Saprotroph	NULL	Yeast	Highly Probable	NULL	Nagy LG, et al. 2014. Nature Communications 5:e4471 ((https://doi.org/10.1038/ncomms5471))
ASV784	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trichaptum	Trichaptum_biforme	Trichaptum	13	Saprotroph	Wood Saprotroph	White Rot	Polyporoid	Highly Probable	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)
ASV786	Fungi	Basidiomycota	Agaricomycetes	Agaricomycetes_unidentified	Agaricomycetes_unidentified_1	Agaricomycetes_unidentified_1	Agaricomycetes_unidentified_1	na	na	na	na	na	na	na	na	na
ASV788	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae			Teratosphaeriaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	NULL	NULL	Probable	Includes numerous saprobic, extremophilic, human opportunistic, and plant pathogenic fungi (Quaedvlieg et al. 2014)	Quaedvlieg W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))
ASV79	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Bullera	Bullera_variabilis	Bullera	13	Saprotroph-Symbiotroph	Epiphyte-Litter Saprotroph	NULL	Yeast	Probable	Isolated from dead leaves of Oryza sativa, Miscanthus sinensis and Sasa sp. in Japan (Nakase & Suzuki 1986; Syn. Udeniomyces puniceus); Foliar, isolated from leaves of Melostomae candidum (Nakase et al. 2004)	Nakase T, Suzuki M. 1986. Journal of General and Applied Microbiology Tokyo 32:225-240 ((https://doi.org/10.2323/jgam.32.225)); Nakase T, et al. 2004. Systematic and Applied Microbiology 27:558-564 ((https://doi.org/10.1078/0723202041748118))
ASV793	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella	Mycosphaerella	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV794	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Montagnulaceae	Paraconiothyrium		Paraconiothyrium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_alternata	Alternaria	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph	Soft Rot	Microfungus	Possible	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV80	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_coprosmaensis	na	na	na	na	na	na	na	na	na
ASV801	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_Incertae_sedis	Strelitziana	Strelitziana_africana	Strelitziana	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV804	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Cochliobolus	Cochliobolus_pallescens	Cochliobolus	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV806	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectria	Bionectria_epichloe	Bionectria	13	Pathotroph-Saprotroph	Fungal Parasite-Undefined Saprotroph	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV808	Fungi	Ascomycota	Ascomycota_unidentified	Ascomycota_unidentified_1	Ascomycota_unidentified_1	Ascomycota_unidentified_1_1	Ascomycota_unidentified_1_1	na	na	na	na	na	na	na	na	na
ASV81	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_oryzae	Phaeosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV811	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Cochliobolus	Bipolaris_microstegii	Cochliobolus	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV817	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_unidentified	Sordariomycetes_unidentified_1	Sordariomycetes_unidentified_1		na	na	na	na	na	na	na	na	na
ASV819	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_sp	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	NULL	Dimorphic Yeast	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234 ((https://doi.org/10.1094/Phyto-73-228)); Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
ASV82	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_unidentified	Dothideomycetes_unidentified_1	Dothideomycetes_unidentified_1		na	na	na	na	na	na	na	na	na
ASV820	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Psilocybe	Psilocybe_montana	Strophariaceae	9	Pathotroph-Saprotroph	Dung Saprotroph-Plant Parasite-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph	NULL	Agaricoid	Probable	Very variable ecology; Pholiota species are lignicolous and can act as weak parasites while most other taxa are either sparobes in grassy habitats or are found in dung. Species are not ectomycorrhizal (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV823	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV825	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Lalaria	Lalaria_carpini	Taphrinaceae	9	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	Biotrophic on plants, usually causing hyperplasia (galls, witches broom) or lesions (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
